Name of College,Type,State,Population Density,Enrollment,Asian,African American,Caucasian,Hispanic,Native American,Pacific Islander,Graduate in 4 years,Graduate in 6 years,Average high school GPA,SAT Math Range,SAT English Reading Wrting,ACT Range,English Units,Math Units,Science Units,Science Lab Units,World Language Units,Social Studies Units,Applicants,Admissions Rate,Enrollment Rate,Accepts Common App,"Early Decision, Admit, Priority",Early Due Date,Regular Due Date,Annual Tuition,Room and Board,Requires CSS,Average Cumulative Debt,PLUS Debt Ratio,Net Present Value (10 Years)
Adelphi University,,New York,4220,5307,11.00%,9%,50%,18%,1%,1%,60%,70%,3.50,640,630,22-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,13006,74%,13%,Yes,Priority,12/1/2025,,$36920,$16030,No,$34980,,$88000
Allegheny College,,Pennsylvania,2967,1762,3.00%,9%,70%,9%,1%,1%,69%,75%,3.50,650,670,23-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,5114,68%,14%,Yes,,,2/15/2025,$47040,$12140,No,,,$76000
American University,,Washington DC,11158,7433,7.00%,7%,57%,14%,1%,1%,76%,79%,3.66,660,690,26-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,18699,29%,32%,,,,1/15/2025,$47640,$14880,Yes,$32394,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$56000
Amherst College,,Massachusetts,1370,1836,14.00%,11%,42%,13%,1%,1%,90%,95%,3.80,790,770,32-34,4.0,,"Biology, Chemistry, Physics",Biology,3,2,9285,13%,39%,,,,1/1/2025,$53430,$14190,Yes,$18662,,$125000
Appalachian State University,,North Carolina,2800,16891,2.00%,4%,83%,6%,1%,1%,51%,76%,3.20,630,640,23-27,4.0,,"Biology, Chemistry, Physics",Biology,2,1,14009,70%,34%,,Priority,11/15/2025,3/15/2025,$18675,$8174,No,$22696,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$89000
Arcadia University,,Pennsylvania,6400,2003,5.00%,9%,65%,10%,1%,1%,64%,71%,3.70,610,640,21-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,9243,64%,8%,Yes,Priority,1/15/2025,3/1/2025,$42880,$13800,No,,,$47000
Arizona State University (Phoenix),,Arizona,3207,8697,6.00%,6%,47%,32%,2%,1%,59%,70%,3.50,630,640,20-26,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,1,5763,81%,31%,Yes,Priority,2/1/2025,4/4/2025,$27618,$14584,No,$25484,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$135000
Arizona State University (West),,Arizona,4072,3981,6.00%,5%,44%,36%,1%,1%,57%,70%,3.50,630,620,19-25,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,1,2610,82%,31%,Yes,Priority,2/1/2025,4/4/2025,$26238,$11588,No,$21995,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$147000
Art Center College of Design,,California,6181,2003,33.00%,1%,14%,11%,1%,1%,30%,70%,3.25,0,0,0,0.0,0,0,0,0,0,844,68%,42%,No,Priority,2/15/2025,2/15/2025,$42816,,No,,,$5000
Assumption College,,Massachusetts,4700,1929,3.00%,5%,77%,7%,1%,1%,66%,71%,3.30,620,630,23-28,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,4508,79%,11%,,Priority,11/1/2025,2/15/2025,$35510,,No,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$83000
Auburn University,,Alabama,1093,23391,2.00%,6%,82%,3%,1%,1%,49%,77%,3.90,660,650,24-30,4.0,,"Biology, Chemistry",Biology ,2,3,18072,84%,32%,Yes,,2/1/2025,6/1/2025,$28008,$13332,No,$28170,,$81000
Augustana College,,Illinois,2266,2634,2.00%,4%,72%,10%,1%,1%,71%,75%,3.30,700,640,23-28,3.0,,"Biology, Chemistry, Physics","Biology, Chemistry ",1,1,6750,59%,18%,Yes,,11/1/2025,2/1/2025,$42135,$10572,No,,,$80000
Augustana University,,South Dakota,2109,1708,1.00%,2%,85%,3%,1%,0%,56%,71%,3.70,660,630,23-29,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry ",2,3,1975,68%,36%,Yes,,1/15/2025,,$31450,$8008,No,$36950,,$88000
Babson College ,,Massachusetts,2700,2342,12.00%,5%,37%,11%,1%,1%,90%,92%,3.77,730,680,27-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry ",4,4,7122,24%,32%,Yes,Priority,11/1/2025,1/2/2025,$51104,$16312,Yes,$36556,,$184000
Bard College,,New York,309,1850,4.00%,7%,60%,7%,1%,0%,62%,74%,3.50,690,710,28-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,4922,58%,16%,Yes,,,1/1/2025,$54210,$15488,Yes,$26904,,$21000
Barnard College,,New York,28211,2600,15.00%,6%,52%,12%,1%,1%,87%,93%,3.90,740,760,30-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,7716,15%,51%,Yes,,12/1/2025,1/1/2025,$50934,$16100,Yes,$20008,,$115000
Bates College,,Maine,1075,1787,4.00%,5%,70%,9%,1%,1%,89%,92%,3.84,720,730,29-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,3,5316,22%,42%,Yes,,,1/1/2025,$50310,$14190,Yes,$22845,,$92000
Baylor University,Relgious,Texas,1350,14284,6.00%,6%,63%,15%,1%,1%,60%,77%,3.68,680,680,26-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",2,2,37083,39%,23%,Yes,,,2/1/2025,$41194,$7800,No,$44540,,$37000
Belmont University,,Tennessee,1300,6444,2.00%,5%,81%,5%,1%,1%,58%,70%,3.70,640,670,24-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,7737,81%,25%,Yes,Priority,12/1/2025,8/1/2025,$31300,$11680,No,$29207,,$3000
Beloit College,,Wisconsin,2123,1324,3.00%,7%,56%,10%,1%,1%,75%,86%,3.30,660,650,24-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,3,5400,54%,11%,Yes,Priority,1/15/2025,,$49564,$8830,No,$27507,,$89000
Bentley University,,Massachusetts,4500,4203,8.00%,3%,61%,7%,0%,1%,87%,91%,3.70,710,670,27-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,8867,44%,26%,Yes,,,1/7/2025,$46370,$15720,Yes,$29547,,$158000
Bethel University (MN),,Minnesota ,5899,2777,3.00%,4%,76%,5%,1%,1%,61%,70%,3.50,608,655,21-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,4,1812,84%,39%,,,,11/1/2025,$37140,$10520,No,$36123,,$63000
Biola University,,California,6292,4039,18.00%,2%,46%,21%,1%,1%,55%,73%,3.60,630,630,21-23,4.0,,"Biology, Chemistry",Biology,4,1,8876,84%,37%,,,,5/15/2025,$36696,,No,$26772,,$18000
Boston College,,Massachusetts ,14344,9358,10.00%,4%,62%,11%,1%,1%,88%,93%,3.93,730,760,31-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics, Other",4,4,28454,32%,26%,,,,1/1/2025,$52500,$14142,Yes,$20849,,$117000
Boston University,,Massachusetts ,13934,16716,15.00%,4%,40%,12%,1%,1%,81%,87%,3.70,760,720,29-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,3,60825,25%,23%,,,,1/2/2025,$50980,$15270,Yes,$41098,,$70000
Bowdoin College,,Maine,434,1812,7.00%,6%,62%,11%,1%,1%,91%,95%,3.80,760,750,30-34,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,7251,14%,51%,,,,1/1/2025,$49900,,No,,,$122000
Bradley University,,Illinois ,2369,4643,4.00%,7%,73%,10%,1%,0%,51%,72%,3.60,650,640,22-28,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,10232,71%,17%,,,,5/1/2025,$32540,$10310,No,,,$88000
Brandeis University,,Massachusetts ,4500,3624,13.00%,5%,47%,7%,1%,1%,83%,90%,3.90,760,710,29-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",4,4,11721,34%,21%,,,,1/1/2025,$51245,,Yes,$32922,,$66000
Brigham Young University (UT),,Utah,2500,31233,2.00%,1%,82%,6%,1%,1%,23%,83%,3.80,700,710,27-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,12858,52%,81%,Yes,,,12/15/2025,$5620,,No,$15158,,$156000
Brown University,,Rhode Island,9676,6670,15.00%,6%,44%,12%,1%,1%,86%,95%,3.95,790,780,31-35,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,32723,9%,59%,Yes,,,1/1/2025,$51366,,Yes,$23810,,$112000
Bryant University,,Rhode Island,806,3449,73.00%,79%,75%,7%,1%,1%,73%,79%,3.40,650,630,24-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,7242,73%,17%,Yes,,,2/1/2025,$43076,$15702,No,$44384,,$94000
Bryn Mawr College,,Pennsylvania,6300,1328,12.00%,6%,37%,9%,1%,,76%,83%,3.91,770,730,29-33,4.0,,"Biology, Chemistry",Biology,3,2,2936,38%,32%,Yes,,,1/15/2025,$48790,,Yes,$23081,,$91000
Bucknell University,,Pennsylvania,5870,3588,5.00%,4%,74%,7%,1%,1%,86%,90%,3.60,720,700,28-31,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,10253,31%,31%,Yes,,,1/15/2025,$53692,$13150,Yes,$22600,,$90000
Butler University,,Indiana,2269,4194,3.00%,4%,83%,4%,1%,1%,63%,79%,3.80,660,660,25-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,14635,65%,11%,Yes,,,2/1/2025,$40160,$14690,No,$35730,,$52000
California institute of Technology,,California,6181,961,43.00%,1%,28%,12%,0%,0%,79%,89%,4.00,800,790,34-35,3.0,,"Biology, Chemistry",Biology,2,1,7339,7%,41%,Yes,,,1/3/2025,$48111,$14796,Yes,$18219,,$200000
California State Polytechnic University (Pomona),,California,6643,24840,21.00%,3%,16%,46%,1%,1%,21%,72%,3.50,640,620,19-27,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,36660,55%,19%,No,Priority,11/30/2025,11/30/2025,$20235,$17358,No,$21730,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$139000
California State Polytechnic University (San Luis Obispo),,California,3619,21249,13.00%,1%,54%,17%,1%,1%,47%,82%,3.80,730,700,26-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,54663,30%,27%,No,,,11/30/2025,$20235,$13796,No,$22298,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$160000
Calvin College,,Michigan ,4475,3656,5.00%,3%,70%,5%,1%,0%,59%,72%,3.80,670,660,23-30,3.0,,"Biology, Chemistry","Biology, Chemistry",2,2,3221,84%,33%,,,,8/15/2025,$33100,$9990,No,$39998,,$55000
Carleton College,,Minnesota ,2409,2023,8.00%,5%,61%,8%,1%,0%,89%,94%,3.60,770,760,31-34,0.0,,"Biology, Chemistry","Biology, Chemistry",2,2,6499,21%,38%,,,,1/15/2025,$50874,,Yes,$22641,,$67000
Carnegie Mellon University,,Pensylvania ,5461,6804,29.00%,4%,26%,9%,1%,1%,76%,89%,3.80,800,760,32-35,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,3,,22%,,,,,1/1/2025,$54244,$14418,Yes,$30866,,$183000
Case Western Reserve University ,,Ohio,5107,5020,21.00%,4%,49%,7%,1%,1%,66%,83%,3.92,780,740,30-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,25380,33%,16%,,,,1/15/2025,$47074,$14784,Yes,$30561,,$121000
Catholic University of America,,Washington D.C. ,11367,3283,4.00%,5%,65%,13%,1%,1%,66%,74%,3.40,650,670,23-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,,80%,,,,,1/15/2025,$42536,,No,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$70000
Cedarville University,,Ohio,3000,3132,2.00%,1%,87%,3%,1%,0%,60%,72%,3.70,670,680,23-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,4039,72%,30%,,,,11/1/2025,$30070,$7360,No,$29454,,$64000
Centre College,,Kentucky,1025,1441,5.00%,5%,73%,5%,1%,1%,80%,82%,3.60,730,680,26-31,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,2454,76%,21%,,,,1/15/2025,$41700,$10480,No,$26740,,$68000
Chapman College,,California,5543,6740,12.00%,2%,55%,15%,1%,1%,69%,79%,3.70,680,680,25-30,2.0,,"Biology, Chemistry",Biology,2,3,13170,57%,22%,,,,1/15/2025,$52340,$15828,No,$25959,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$26000
Christopher Newport University,,Virginia,2595,4950,3.00%,7%,75%,5%,1%,1%,63%,75%,3.80,640,660,23-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,4,6948,72%,26%,,Decision,2/1/2025,3/1/2025,$24680,,No,$30451,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$78000
Claremont McKenna College,,California ,2701,1335,11.00%,4%,41%,15%,1%,1%,84%,90%,3.80,770,740,30-34,4.0,,"Biology, Chemistry","Biology, Chemistry",3,1,6349,10%,53%,,,,1/5/2025,$50945,,Yes,$23375,,$150000
Clark University,,Massachusetts,4700,2204,8.00%,4%,58%,8%,1%,0%,77%,83%,3.60,680,700,27-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,8355,56%,13%,Yes,,,1/15/2025,$44050,$8860,Yes,$26870,,$58000
Clarkson University,,New York,150,2991,4.00%,2%,81%,5%,1%,0%,58%,74%,3.60,680,650,24-29,4.0,,Biology,Biology,1,1,7000,66%,15%,,,,1/15/2025,$48194,$15222,No,$23500,,$132000
Clemson University,,South Carolina,1869,19172,2.00%,7%,83%,4%,1%,1%,61%,82%,3.65,700,690,27-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,1,26242,47%,29%,,Priority,12/1/2025,5/1/2025,$35056,$10832,No,$30270,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$124000
Colby College,,Maine,1222,2000,8.00%,4%,63%,7%,1%,1%,87%,90%,3.94,770,740,31-33,4.0,,"Biology, Chemistry","Biology, Chemistry",3,2,12313,13%,36%,Yes,,,1/1/2025,$52890,$14190,Yes,$24437,,$130000
Colgate University,,New York,157,2852,4.00%,5%,65%,9%,1%,0%,88%,91%,3.70,770,730,31-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,8542,28%,32%,Yes,,,1/15/2025,$53650,$13520,Yes,$21427,,$130000
College of Charleston,,South Carolina,1152,9622,2.00%,8%,78%,6%,1%,1%,62%,71%,3.90,610,640,22-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,2,11675,79%,24%,Yes,Priority,2/15/2025,2/15/2025,$31600,$12166,No,$27256,,$69000
College of the Holy Cross,,Massachusetts,4700,3020,5.00%,4%,70%,10%,1%,1%,89%,92%,3.80,710,700,28-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",4,2,6622,40%,31%,,,,1/15/2025,$49980,$13690,Yes,$25446,,$90000
College of New Jersey,,New Jersey,2347,6850,11.00%,6%,66%,12%,1%,1%,73%,87%,3.64,670,660,25-30,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",2,2,12898,48%,25%,Yes,Priority,11/1/2025,2/1/2025,$24662,$13618,No,$37787,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$106000
College of the Ozarks,,Missouri,542,1491,1.00%,1%,90%,2%,1%,1%,55%,72%,3.70,605,625,21-26,4.0,,"Biology, Chemistry",Biology,1,2,2879,16%,78%,,Priority,12/31/2025,7/31/2025,$18930,$7400,No,,,$90000
College of St. Benedict,,Minnesota,1810,3657,4.00%,4%,79%,7%,1%,1%,71%,78%,3.60,590,630,22-28,4.0,,"Biology, Chemistry","Biology, Chemistry",1,2,3236,91%,34%,,Priority,11/15/2025,1/15/2025,$42690,$10742,No,$39904,,$79000
College of William and Mary,,Virginia,1681,6243,8.00%,7%,59%,9%,1%,1%,85%,91%,3.70,740,740,29-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,14921,36%,29%,,,,1/1/2025,$42274,,Yes,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$131000
College of Wooster,,Ohio,1601,1970,5.00%,9%,66%,5%,1%,0%,70%,77%,3.70,700,680,24-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemsitry",2,3,5615,56%,18%,,Priority,2/15/2025,2/15/2025,$48160,$11400,Yes,$29650,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$54000
